index;date;country;confirmed;confirmed_DR;confirmed_filtered;confirmed_filtered_DR
237;2020-03-16;South Korea;8236.0;108.81777777777782;8243.399999999998;92.1521657250471
238;2020-03-16;China;80867.0;4042.3666666666677;80866.39999999998;4124.812925170375
239;2020-03-16;Germany;6012.0;4.403849045256354;5999.799999999998;5.03463334341093
240;2020-03-16;Israel;251.0;3.339233038348083;246.39999999999995;4.17758985200846
241;2020-03-17;Israel;295.0;4.084745762711865;295.99999999999994;4.845496383957924
242;2020-03-17;South Korea;8320.0;104.29535864978908;8339.199999999997;90.32201533406426
243;2020-03-17;Germany;7156.0;5.178602243313203;7440.5999999999985;4.973797947055644
244;2020-03-17;United States;6512.0;2.90969696969697;7446.999999999998;3.1522540402608454
245;2020-03-17;China;80884.0;4492.574074074075;80887.19999999998;3869.202551833862
246;2020-03-18;Israel;371.0;5.094444444444447;386.19999999999993;4.428230805913209
247;2020-03-18;United States;9169.0;3.0230141054194513;10810.599999999999;2.8563671841859684
248;2020-03-18;Germany;8198.0;6.516010978957002;9264.399999999998;4.63656599072883
249;2020-03-18;China;80906.0;4147.982905982908;80912.99999999999;3471.625178826463
250;2020-03-18;South Korea;8413.0;94.04519774011304;8437.199999999997;86.06742346061266
251;2020-03-19;South Korea;8565.0;68.83809523809528;8549.8;80.17157328268357
252;2020-03-19;Germany;10999.0;4.5716020470118846;11394.399999999998;4.73795673360649
253;2020-03-19;China;80931.0;3442.8510638297876;80942.39999999998;2931.6739130436326
254;2020-03-19;Israel;386.0;7.706959706959712;504.5999999999999;3.792905081495687
255;2020-03-19;United States;13663.0;2.7356546869901655;15079.799999999996;2.911766760996403
256;2020-03-20;Israel;628.0;3.5927367055771735;661.5999999999999;3.7579278625030272
257;2020-03-20;China;80977.0;2279.9436619718313;80984.4;2267.411764705606
258;2020-03-20;Germany;13957.0;3.837934826648147;13685.199999999997;5.179153094462543
259;2020-03-20;South Korea;8652.0;71.49232914923296;8677.999999999998;71.05481727574718
260;2020-03-20;United States;20030.0;2.63094251603597;20766.199999999997;3.12431194503596
261;2020-03-21;Israel;843.0;2.7089715536105046;837.1999999999998;4.015634395670477
262;2020-03-21;South Korea;8799.0;74.11965811965814;8787.599999999999;72.93355761143842
263;2020-03-21;Germany;16662.0;4.899405497674967;16579.999999999996;5.355805821248589
264;2020-03-21;United States;26025.0;3.220514479857629;28151.59999999999;3.2639014264804147
265;2020-03-21;China;81014.0;1951.1807228915666;81026.79999999999;1919.0647709318714
266;2020-03-22;China;81094.0;1385.0997150997152;81076.59999999999;1757.6847433116973
267;2020-03-22;Germany;18610.0;7.053370585285482;19867.399999999998;5.406122955150811
268;2020-03-22;South Korea;8961.0;56.983818770226556;8881.999999999998;86.10326797385623
269;2020-03-22;Israel;1080.0;3.7625368731563444;1030.1999999999998;4.574064026044494
270;2020-03-22;United States;34944.0;3.6207143176433787;36761.799999999996;3.5709653488042545
271;2020-03-23;United States;46096.0;3.5562087921213044;46523.999999999985;4.043652435174502
272;2020-03-23;China;81118.0;1559.1410256410259;81125.39999999998;1644.5490196079888
273;2020-03-23;Germany;22672.0;6.427509706045482;23386.799999999996;5.860237801414273
274;2020-03-23;Israel;1249.0;5.208538587848934;1398.1999999999996;3.8806892453951294
275;2020-03-23;South Korea;8961.0;109.96296296296302;8978.999999999998;92.81992337164772
276;2020-03-24;South Korea;9037.0;236.48245614035093;9067.399999999998;96.82991729593691
277;2020-03-24;Israel;1351.0;9.052890528905293;1827.1999999999996;3.559682141363447
278;2020-03-24;Germany;27436.0;5.190573306140949;27355.999999999993;6.286016968013608
279;2020-03-24;United States;56714.0;4.218465778594397;58651.39999999999;4.322819969300493
280;2020-03-24;China;81180.0;1886.7596899224811;81182.19999999998;1536.5164141415412
281;2020-03-25;South Korea;9137.0;102.78409090909096;9141.599999999999;111.47191471914695
282;2020-03-25;Germany;31554.0;6.129400285221049;32091.59999999999;6.3439634837484356
283;2020-03-25;Israel;2468.0;2.771670768389391;2295.3999999999996;4.102244018427701
284;2020-03-25;United States;68841.0;5.031171686084855;72713.19999999998;4.528294105967347
285;2020-03-25;China;81221.0;1576.1747572815539;81232.39999999998;1517.3831775700935
286;2020-03-26;United States;86662.0;4.724121811139309;88977.4;4.843852359911187
287;2020-03-26;South Korea;9241.0;89.59150326797388;9244.999999999998;103.05555555555534
288;2020-03-26;Israel;2988.0;2.772144166157606;2825.7999999999993;4.638760931971428
289;2020-03-26;Germany;36508.0;7.017783656672547;37273.59999999999;6.501653625877229
290;2020-03-26;China;81298.0;1376.8305084745766;81288.99999999999;1521.2459425717439
291;2020-03-27;United States;105253.0;4.774177011241717;106343.39999999998;5.313359222762081
292;2020-03-27;Israel;3421.0;6.209863588667368;3442.1999999999994;4.978142076502734
293;2020-03-27;China;81345.0;1311.096774193549;81341.79999999999;1486.064594759175
294;2020-03-27;Germany;42288.0;6.8536115769206924;42295.79999999999;7.295100710165096
295;2020-03-27;South Korea;9332.0;94.73504273504277;9354.199999999997;86.98902477265663
296;2020-03-28;Israel;3901.0;7.528294998174518;3944.399999999999;6.0864175457417025
297;2020-03-28;South Korea;9478.0;78.9057665260197;9458.999999999998;87.40872274143302
298;2020-03-28;Germany;48582.0;7.03318425266413;47444.59999999999;8.325238422967262
299;2020-03-28;China;81401.0;1579.572815533981;81393.19999999998;1561.2539987204534
300;2020-03-28;United States;127417.0;5.223604465709731;125714.79999999996;5.8257724643914255
301;2020-03-29;United States;143544.0;6.550085746868282;146798.19999999995;6.243287158342977
302;2020-03-29;Israel;4433.0;7.743741765480898;4490.199999999999;7.555216284987281
303;2020-03-29;Germany;52547.0;9.319751762679925;52525.59999999999;9.271344503313845
304;2020-03-29;South Korea;9583.0;75.41301460823377;9567.999999999998;88.49766136576197
305;2020-03-29;China;81444.0;1644.3771043771048;81746.59999999998;402.6376811594319
306;2020-03-30;South Korea;9661.0;104.6338797814208;9678.999999999998;86.9878787878788
307;2020-03-30;China;81478.0;2115.35064935065;82122.4;224.2294752239862
308;2020-03-30;Germany;57298.0;12.117714547957783;57541.2;10.400293167997145
